atlas_order,symbol,atlas_cohort,sector,instrument_type,sector_balance_eligible,selection_role,selection_basis
18,KO,GICS_CORE,Consumer Staples,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
19,PEP,GICS_CORE,Consumer Staples,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
20,WMT,GICS_CORE,Consumer Staples,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
21,COST,GICS_CORE,Consumer Staples,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
22,PM,GICS_CORE,Consumer Staples,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
23,MO,GICS_CORE,Consumer Staples,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
24,CL,GICS_CORE,Consumer Staples,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
25,XOM,GICS_CORE,Energy,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
26,CVX,GICS_CORE,Energy,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
27,COP,GICS_CORE,Energy,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
28,SLB,GICS_CORE,Energy,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
29,EOG,GICS_CORE,Energy,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
30,MPC,GICS_CORE,Energy,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
31,OXY,GICS_CORE,Energy,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
32,PSX,GICS_CORE,Energy,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
33,JPM,GICS_CORE,Financials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
34,BAC,GICS_CORE,Financials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
35,WFC,GICS_CORE,Financials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
36,GS,GICS_CORE,Financials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
37,MS,GICS_CORE,Financials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
38,BLK,GICS_CORE,Financials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
39,C,GICS_CORE,Financials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
40,AXP,GICS_CORE,Financials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
41,UNH,GICS_CORE,Health Care,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
42,JNJ,GICS_CORE,Health Care,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
43,LLY,GICS_CORE,Health Care,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
44,PFE,GICS_CORE,Health Care,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
45,MRK,GICS_CORE,Health Care,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
46,ABBV,GICS_CORE,Health Care,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
47,TMO,GICS_CORE,Health Care,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
48,ABT,GICS_CORE,Health Care,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
49,CAT,GICS_CORE,Industrials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
50,BA,GICS_CORE,Industrials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
51,HON,GICS_CORE,Industrials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
52,UNP,GICS_CORE,Industrials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
53,UPS,GICS_CORE,Industrials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
54,GE,GICS_CORE,Industrials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
55,RTX,GICS_CORE,Industrials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
56,DE,GICS_CORE,Industrials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
57,AAPL,GICS_CORE,Information Technology,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
58,MSFT,GICS_CORE,Information Technology,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
59,NVDA,GICS_CORE,Information Technology,Stock,TRUE,operator_interest,frozen_eight_per_sector_long_history_liquid_stock
60,AMD,GICS_CORE,Information Technology,Stock,TRUE,operator_interest,frozen_eight_per_sector_long_history_liquid_stock
61,AVGO,GICS_CORE,Information Technology,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
62,ORCL,GICS_CORE,Information Technology,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
63,CRM,GICS_CORE,Information Technology,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
64,IBM,GICS_CORE,Information Technology,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
65,APD,GICS_CORE,Materials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
66,SHW,GICS_CORE,Materials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
67,ECL,GICS_CORE,Materials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
68,NEM,GICS_CORE,Materials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
69,FCX,GICS_CORE,Materials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
70,NUE,GICS_CORE,Materials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
71,PPG,GICS_CORE,Materials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
72,VMC,GICS_CORE,Materials,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
73,AMT,GICS_CORE,Real Estate,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
74,PLD,GICS_CORE,Real Estate,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
75,CCI,GICS_CORE,Real Estate,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
76,EQIX,GICS_CORE,Real Estate,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
77,SPG,GICS_CORE,Real Estate,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
78,O,GICS_CORE,Real Estate,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
79,PSA,GICS_CORE,Real Estate,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
80,WELL,GICS_CORE,Real Estate,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
81,NEE,GICS_CORE,Utilities,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
82,DUK,GICS_CORE,Utilities,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
83,SO,GICS_CORE,Utilities,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
84,D,GICS_CORE,Utilities,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
85,AEP,GICS_CORE,Utilities,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
86,EXC,GICS_CORE,Utilities,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
87,SRE,GICS_CORE,Utilities,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
88,XEL,GICS_CORE,Utilities,Stock,TRUE,sector_member,frozen_eight_per_sector_long_history_liquid_stock
89,GME,ATTENTION_SUPPLEMENT,Attention / meme,Stock,FALSE,meme_challenger,frozen_attention_characteristic_before_results
90,AMC,ATTENTION_SUPPLEMENT,Attention / meme,Stock,FALSE,meme_challenger,frozen_attention_characteristic_before_results
91,KOSS,ATTENTION_SUPPLEMENT,Attention / meme,Stock,FALSE,meme_challenger,frozen_attention_characteristic_before_results
92,BB,ATTENTION_SUPPLEMENT,Attention / meme,Stock,FALSE,meme_challenger,frozen_attention_characteristic_before_results
93,NOK,ATTENTION_SUPPLEMENT,Attention / meme,Stock,FALSE,meme_challenger,frozen_attention_characteristic_before_results
94,CVNA,ATTENTION_SUPPLEMENT,Attention / meme,Stock,FALSE,meme_challenger,frozen_attention_characteristic_before_results
95,BYND,ATTENTION_SUPPLEMENT,Attention / meme,Stock,FALSE,meme_challenger,frozen_attention_characteristic_before_results
96,ROKU,ATTENTION_SUPPLEMENT,Attention / meme,Stock,FALSE,meme_challenger,frozen_attention_characteristic_before_results
97,MSTR,ATTENTION_SUPPLEMENT,Attention / meme,Stock,FALSE,meme_challenger,frozen_attention_characteristic_before_results
98,PLTR,ATTENTION_SUPPLEMENT,Attention / meme,Stock,FALSE,meme_challenger,frozen_attention_characteristic_before_results
99,COIN,ATTENTION_SUPPLEMENT,Attention / meme,Stock,FALSE,meme_challenger,frozen_attention_characteristic_before_results
100,SOFI,ATTENTION_SUPPLEMENT,Attention / meme,Stock,FALSE,meme_challenger,frozen_attention_characteristic_before_results
101,HOOD,ATTENTION_SUPPLEMENT,Attention / meme,Stock,FALSE,meme_challenger,frozen_attention_characteristic_before_results
102,RIVN,ATTENTION_SUPPLEMENT,Attention / meme,Stock,FALSE,meme_challenger,frozen_attention_characteristic_before_results
103,LCID,ATTENTION_SUPPLEMENT,Attention / meme,Stock,FALSE,meme_challenger,frozen_attention_characteristic_before_results
104,MARA,ATTENTION_SUPPLEMENT,Attention / meme,Stock,FALSE,meme_challenger,frozen_attention_characteristic_before_results
105,SPY,EQUITY_ETF_CONTROL,Broad / sector ETF,ETF,FALSE,broad_market_control,frozen_liquid_equity_etf_control
106,QQQ,EQUITY_ETF_CONTROL,Broad / sector ETF,ETF,FALSE,broad_market_control,frozen_liquid_equity_etf_control
107,IWM,EQUITY_ETF_CONTROL,Broad / sector ETF,ETF,FALSE,broad_market_control,frozen_liquid_equity_etf_control
108,DIA,EQUITY_ETF_CONTROL,Broad / sector ETF,ETF,FALSE,broad_market_control,frozen_liquid_equity_etf_control
109,SMH,EQUITY_ETF_CONTROL,Broad / sector ETF,ETF,FALSE,sector_etf_control,frozen_liquid_equity_etf_control
110,XLF,EQUITY_ETF_CONTROL,Broad / sector ETF,ETF,FALSE,sector_etf_control,frozen_liquid_equity_etf_control
111,XLK,EQUITY_ETF_CONTROL,Broad / sector ETF,ETF,FALSE,sector_etf_control,frozen_liquid_equity_etf_control
112,XLE,EQUITY_ETF_CONTROL,Broad / sector ETF,ETF,FALSE,sector_etf_control,frozen_liquid_equity_etf_control
113,XLY,EQUITY_ETF_CONTROL,Broad / sector ETF,ETF,FALSE,sector_etf_control,frozen_liquid_equity_etf_control
114,XLP,EQUITY_ETF_CONTROL,Broad / sector ETF,ETF,FALSE,sector_etf_control,frozen_liquid_equity_etf_control
115,XLV,EQUITY_ETF_CONTROL,Broad / sector ETF,ETF,FALSE,sector_etf_control,frozen_liquid_equity_etf_control
116,XLI,EQUITY_ETF_CONTROL,Broad / sector ETF,ETF,FALSE,sector_etf_control,frozen_liquid_equity_etf_control
117,XLU,EQUITY_ETF_CONTROL,Broad / sector ETF,ETF,FALSE,sector_etf_control,frozen_liquid_equity_etf_control
118,XLB,EQUITY_ETF_CONTROL,Broad / sector ETF,ETF,FALSE,sector_etf_control,frozen_liquid_equity_etf_control
119,XLRE,EQUITY_ETF_CONTROL,Broad / sector ETF,ETF,FALSE,sector_etf_control,frozen_liquid_equity_etf_control
120,TLT,NON_EQUITY_CONTROL,Non-equity proxy,ETF,FALSE,fixed_income_control,frozen_liquid_non_equity_proxy
121,IEF,NON_EQUITY_CONTROL,Non-equity proxy,ETF,FALSE,fixed_income_control,frozen_liquid_non_equity_proxy
122,SHY,NON_EQUITY_CONTROL,Non-equity proxy,ETF,FALSE,fixed_income_control,frozen_liquid_non_equity_proxy
123,GLD,NON_EQUITY_CONTROL,Non-equity proxy,ETF,FALSE,commodity_control,frozen_liquid_non_equity_proxy
124,SLV,NON_EQUITY_CONTROL,Non-equity proxy,ETF,FALSE,commodity_control,frozen_liquid_non_equity_proxy
125,USO,NON_EQUITY_CONTROL,Non-equity proxy,ETF,FALSE,commodity_control,frozen_liquid_non_equity_proxy
126,UNG,NON_EQUITY_CONTROL,Non-equity proxy,ETF,FALSE,commodity_control,frozen_liquid_non_equity_proxy
127,UUP,NON_EQUITY_CONTROL,Non-equity proxy,ETF,FALSE,currency_control,frozen_liquid_non_equity_proxy
128,FXE,NON_EQUITY_CONTROL,Non-equity proxy,ETF,FALSE,currency_control,frozen_liquid_non_equity_proxy
129,DBA,NON_EQUITY_CONTROL,Non-equity proxy,ETF,FALSE,commodity_control,frozen_liquid_non_equity_proxy
