instance_id,symbol,company_name,sector,subindustry,panel_role,rationale,source_report_date,source_value_usd,source_url
HB011_BHI,BHI,"Baker Hughes, Inc.",Energy,Oilfield services,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5188265,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB012_CHK,CHK,Chesapeake Energy Corp.,Energy,Exploration and production,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,8356146,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB013_XEC,XEC,Cimarex Energy Co.,Energy,Exploration and production,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4702785,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB014_CXO,CXO,"Concho Resources, Inc.",Energy,Exploration and production,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5004863,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB015_COP,COP,ConocoPhillips,Energy,Exploration and production,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5084432,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB016_DVN,DVN,Devon Energy Corp.,Energy,Exploration and production,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5855521,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB017_EOG,EOG,"EOG Resources, Inc.",Energy,Exploration and production,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4245129,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB018_FTI,FTI,"FMC Technologies, Inc.",Energy,Oilfield equipment,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5896116,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB019_HAL,HAL,Halliburton Co.,Energy,Oilfield services,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4824434,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB020_HP,HP,"Helmerich & Payne, Inc.",Energy,Contract drilling,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4802734,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB021_HES,HES,Hess Corp.,Energy,Exploration and production,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4636828,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB022_KMI,KMI,"Kinder Morgan, Inc.",Energy,Midstream,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4623861,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB023_MRO,MRO,Marathon Oil Corp.,Energy,Exploration and production,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5898274,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB024_MPC,MPC,Marathon Petroleum Corp.,Energy,Refining and marketing,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5364360,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB025_MUR,MUR,Murphy Oil Corp.,Energy,Exploration and production,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5581039,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB026_NFX,NFX,Newfield Exploration Co.,Energy,Exploration and production,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4685872,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB027_NBL,NBL,"Noble Energy, Inc.",Energy,Exploration and production,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4806152,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB028_OKE,OKE,"ONEOK, Inc.",Energy,Midstream,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5122102,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB029_PXD,PXD,Pioneer Natural Resources Co.,Energy,Exploration and production,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4385990,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB030_SWN,SWN,Southwestern Energy Co.,Energy,Exploration and production,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,3116377,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB031_TSO,TSO,Tesoro Corp.,Energy,Refining and marketing,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4844904,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB032_RIG,RIG,Transocean Ltd.,Energy,Contract drilling,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5237863,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB033_WMB,WMB,"Williams Cos., Inc. (The)",Energy,Midstream,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,8678036,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB034_AMG,AMG,"Affiliated Managers Group, Inc.",Financials,Asset management,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5150127,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB035_AMP,AMP,"Ameriprise Financial, Inc.",Financials,Diversified financials,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4361074,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB036_BAC,BAC,Bank of America Corp.,Financials,Diversified banks,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5435166,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB037_BK,BK,Bank of New York Mellon Corp. (The),Financials,Custody banks,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4693583,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB038_BLK,BLK,"BlackRock, Inc.",Financials,Asset management,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4025608,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB039_COF,COF,Capital One Financial Corp.,Financials,Consumer finance,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4640901,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB040_SCHW,SCHW,Charles Schwab Corp. (The),Financials,Brokerage and custody,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5723752,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB041_C,C,"Citigroup, Inc.",Financials,Diversified banks,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5541171,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB042_CFG,CFG,"Citizens Financial Group, Inc.",Financials,Regional banks,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4637789,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB043_CMA,CMA,"Comerica, Inc.",Financials,Regional banks,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5543314,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB044_ETFC,ETFC,E*TRADE Financial Corp.,Financials,Brokerage,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5991125,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB045_FITB,FITB,Fifth Third Bancorp,Financials,Regional banks,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5406707,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB046_BEN,BEN,"Franklin Resources, Inc.",Financials,Asset management,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4067542,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB047_GS,GS,"Goldman Sachs Group, Inc. (The)",Financials,Investment banking,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4694485,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB048_HBAN,HBAN,"Huntington Bancshares, Inc.",Financials,Regional banks,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4688592,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB049_IVZ,IVZ,Invesco Ltd.,Financials,Asset management,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5013644,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB050_JPM,JPM,JPMorgan Chase & Co.,Financials,Diversified banks,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4573169,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB051_KEY,KEY,KeyCorp,Financials,Regional banks,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5430100,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB052_LM,LM,"Legg Mason, Inc.",Financials,Asset management,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4001156,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB053_LNC,LNC,Lincoln National Corp.,Financials,Life insurance,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,6008861,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB054_MET,MET,"MetLife, Inc.",Financials,Life insurance,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5507046,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB055_MCO,MCO,Moody's Corp.,Financials,Financial data,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4074980,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB056_MS,MS,Morgan Stanley,Financials,Investment banking,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,6144451,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB057_NAVI,NAVI,Navient Corp.,Financials,Consumer finance,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4403681,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB058_NTRS,NTRS,Northern Trust Corp.,Financials,Custody banks,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4806878,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB059_PFG,PFG,"Principal Financial Group, Inc.",Financials,Life insurance,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5776025,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB060_PRU,PRU,"Prudential Financial, Inc.",Financials,Life insurance,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5606060,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB061_RF,RF,Regions Financial Corp.,Financials,Regional banks,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5789933,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB062_STT,STT,State Street Corp.,Financials,Custody banks,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4832905,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB063_STI,STI,"SunTrust Banks, Inc.",Financials,Regional banks,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4879277,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB064_UNM,UNM,Unum Group,Financials,Life insurance,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4524439,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB065_ZION,ZION,Zions Bancorporation,Financials,Regional banks,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5473961,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB066_ALXN,ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Biotechnology,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4272831,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB067_CELG,CELG,Celgene Corp.,Health Care,Biotechnology,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,3990946,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB068_ENDP,ENDP,Endo International PLC,Health Care,Pharmaceuticals,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,3982369,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB069_ILMN,ILMN,"Illumina, Inc.",Health Care,Life science tools,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,3346730,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB070_MNK,MNK,Mallinckrodt PLC,Health Care,Pharmaceuticals,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,3752165,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB071_REGN,REGN,"Regeneron Pharmaceuticals, Inc.",Health Care,Biotechnology,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,3557156,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB072_VRTX,VRTX,"Vertex Pharmaceuticals, Inc.",Health Care,Biotechnology,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,3649473,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB073_AAL,AAL,"American Airlines Group, Inc.",Industrials,Airlines,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4736924,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB074_ARNC,ARNC,"Arconic, Inc.",Industrials,Aerospace and engineered products,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4335744,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB075_R,R,"Ryder System, Inc.",Industrials,Transportation services,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4916212,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB076_URI,URI,"United Rentals, Inc.",Industrials,Equipment rental,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4957016,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB077_AKAM,AKAM,"Akamai Technologies, Inc.",Information Technology,Internet infrastructure,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5470693,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB078_ADSK,ADSK,"Autodesk, Inc.",Information Technology,Application software,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4796501,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB079_AVGO,AVGO,Broadcom Ltd.,Information Technology,Semiconductors,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4532854,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB080_CTXS,CTXS,"Citrix Systems, Inc.",Information Technology,Application software,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4215154,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB081_CTSH,CTSH,"Cognizant Technology Solutions Corp., Class A",Information Technology,IT services,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,3653604,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB082_FSLR,FSLR,"First Solar, Inc.",Information Technology,Solar technology,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4809483,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB083_HPQ,HPQ,"HP, Inc.",Information Technology,Technology hardware,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4280607,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB084_MU,MU,"Micron Technology, Inc.",Information Technology,Semiconductors,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,6441795,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB085_QRVO,QRVO,"Qorvo, Inc.",Information Technology,Semiconductors,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5446577,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB086_CRM,CRM,"salesforce.com, inc.",Information Technology,Application software,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,3806929,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB087_STX,STX,Seagate Technology PLC,Information Technology,Technology hardware,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5050226,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB088_SWKS,SWKS,"Skyworks Solutions, Inc.",Information Technology,Semiconductors,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,5851979,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB089_TDC,TDC,Teradata Corp.,Information Technology,Data infrastructure,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,3543622,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB090_WDC,WDC,Western Digital Corp.,Information Technology,Technology hardware,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,6873245,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB091_ALB,ALB,Albemarle Corp.,Materials,Specialty chemicals,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4153020,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB092_FMC,FMC,FMC Corp.,Materials,Specialty chemicals,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4162378,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB093_FCX,FCX,"Freeport-McMoRan, Inc.",Materials,Copper mining,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,7655695,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB094_LYB,LYB,"LyondellBasell Industries NV, Class A",Materials,Chemicals,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4365386,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB095_OI,OI,"Owens-Illinois, Inc.",Materials,Packaging,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4726242,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB096_WRK,WRK,WestRock Co.,Materials,Packaging,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4551332,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB097_CBG,CBG,"CBRE Group, Inc., Class A",Real Estate,Real estate services,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4379638,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB098_HST,HST,"Host Hotels & Resorts, Inc. REIT",Real Estate,Hotel REIT,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,3499517,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
HB099_LVLT,LVLT,"Level 3 Communications, Inc.",Telecommunication Services,Telecom infrastructure,2016_sphb_constituent,Included in the contemporaneous SPHB high-beta portfolio before TRAIN,2016-10-31,4829068,https://www.sec.gov/Archives/edgar/data/1378872/000119312517002614/d269293dncsr.htm
