instance_id,symbol,source_symbol,cohort,sector,selection_basis,source_id,source_date,documented_rank,history_note
C060_PPG,PPG,PPG,DIVERSIFIED_CORE,Materials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C061_NUE,NUE,NUE,DIVERSIFIED_CORE,Materials,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C062_CCI,CCI,CCI,DIVERSIFIED_CORE,Real Estate,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C063_EQIX,EQIX,EQIX,DIVERSIFIED_CORE,Real Estate,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C064_SPG,SPG,SPG,DIVERSIFIED_CORE,Real Estate,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C065_PSA,PSA,PSA,DIVERSIFIED_CORE,Real Estate,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C066_O,O,O,DIVERSIFIED_CORE,Real Estate,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C067_DLR,DLR,DLR,DIVERSIFIED_CORE,Real Estate,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C068_WELL,WELL,WELL,DIVERSIFIED_CORE,Real Estate,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C069_VZ,VZ,VZ,DIVERSIFIED_CORE,Communication Services,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C070_T,T,T,DIVERSIFIED_CORE,Communication Services,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C071_NFLX,NFLX,NFLX,DIVERSIFIED_CORE,Communication Services,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C072_EA,EA,EA,DIVERSIFIED_CORE,Communication Services,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C073_TMUS,TMUS,TMUS,DIVERSIFIED_CORE,Communication Services,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C074_CHTR,CHTR,CHTR,DIVERSIFIED_CORE,Communication Services,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
C075_FOXA,FOXA,FOXA,DIVERSIFIED_CORE,Communication Services,SEC-filed SPY constituent; sector-balanced liquid long-history exemplar,SEC_SPY_2020_06_30,2020-06-30,,
A001_AAPL,AAPL,AAPL,RETAIL_ATTENTION_2020,Information Technology,December 2020 Robinhood top-ten leaderboard,FOOL_RH_TOP10_2020_12_05,2020-12-05,1,
A002_TSLA,TSLA,TSLA,RETAIL_ATTENTION_2020,Consumer Discretionary,December 2020 Robinhood top-ten leaderboard,FOOL_RH_TOP10_2020_12_05,2020-12-05,2,
A003_F,F,F,RETAIL_ATTENTION_2020,Consumer Discretionary,December 2020 Robinhood top-ten leaderboard,FOOL_RH_TOP10_2020_12_05,2020-12-05,3,
A004_GE,GE,GE,RETAIL_ATTENTION_2020,Industrials,December 2020 Robinhood top-ten leaderboard,FOOL_RH_TOP10_2020_12_05,2020-12-05,4,
A005_AAL,AAL,AAL,RETAIL_ATTENTION_2020,Industrials,December 2020 Robinhood top-ten leaderboard,FOOL_RH_TOP10_2020_12_05,2020-12-05,6,
A006_NIO,NIO,NIO,RETAIL_ATTENTION_2020,Consumer Discretionary,December 2020 Robinhood top-ten leaderboard,FOOL_RH_TOP10_2020_12_05,2020-12-05,7,IPO in 2018
A007_AMZN,AMZN,AMZN,RETAIL_ATTENTION_2020,Consumer Discretionary,December 2020 Robinhood top-ten leaderboard,FOOL_RH_TOP10_2020_12_05,2020-12-05,8,
A008_DIS,DIS,DIS,RETAIL_ATTENTION_2020,Communication Services,December 2020 Robinhood top-ten leaderboard,FOOL_RH_TOP10_2020_12_05,2020-12-05,9,
A009_DAL,DAL,DAL,RETAIL_ATTENTION_2020,Industrials,December 2020 Robinhood top-ten leaderboard,FOOL_RH_TOP10_2020_12_05,2020-12-05,10,
A010_ACB,ACB,ACB,RETAIL_ATTENTION_2020,Health Care,May 2020 Robinhood Top 100 article with documented rank,INVESTORPLACE_RH_2020_05_27,2020-05-27,6,Reverse splits preserved in adjusted bars
A011_BAC,BAC,BAC,RETAIL_ATTENTION_2020,Financials,May 2020 Robinhood Top 100 article with documented rank,INVESTORPLACE_RH_2020_05_27,2020-05-27,13,
A012_PLUG,PLUG,PLUG,RETAIL_ATTENTION_2020,Industrials,May 2020 Robinhood Top 100 article with documented rank,INVESTORPLACE_RH_2020_05_27,2020-05-27,14,
A013_SNAP,SNAP,SNAP,RETAIL_ATTENTION_2020,Communication Services,May 2020 Robinhood Top 100 article with documented rank,INVESTORPLACE_RH_2020_05_27,2020-05-27,15,
A014_CGC,CGC,CGC,RETAIL_ATTENTION_2020,Health Care,May 2020 Robinhood Top 100 article with documented rank,INVESTORPLACE_RH_2020_05_27,2020-05-27,19,
A015_META,META,FB,RETAIL_ATTENTION_2020,Communication Services,May 2020 Robinhood Top 100 article with documented rank,INVESTORPLACE_RH_2020_05_27,2020-05-27,26,Source-period symbol FB; provider history queried under successor ticker META
A016_SQ,SQ,SQ,RETAIL_ATTENTION_2020,Financials,May 2020 Robinhood Top 100 article with documented rank,INVESTORPLACE_RH_2020_05_27,2020-05-27,68,Renamed XYZ after the retrospective window
A017_BYND,BYND,BYND,RETAIL_ATTENTION_2020,Consumer Staples,May 2020 Robinhood Top 100 article with documented rank,INVESTORPLACE_RH_2020_05_27,2020-05-27,74,IPO in 2019
A018_APHA,APHA,APHA,RETAIL_ATTENTION_2020,Health Care,November 2020 Robinhood popularity article with documented rank,KIPLINGER_RH_2020_11_24,2020-11-24,6,Acquired by Tilray in 2021; retain expected coverage STOP
A019_SNE,SNE,SNE,RETAIL_ATTENTION_2020,Consumer Discretionary,November 2020 Robinhood popularity article with documented rank,KIPLINGER_RH_2020_11_24,2020-11-24,5,Renamed SONY in 2021; retain expected coverage STOP
A020_BABA,BABA,BABA,RETAIL_ATTENTION_2020,Consumer Discretionary,November 2020 Robinhood popularity article with documented rank,KIPLINGER_RH_2020_11_24,2020-11-24,3,
A021_CPRX,CPRX,CPRX,RETAIL_ATTENTION_2020,Health Care,November 2020 Robinhood popularity article with documented rank,KIPLINGER_RH_2020_11_24,2020-11-24,2,
A022_SPCE,SPCE,SPCE,RETAIL_ATTENTION_2020,Industrials,November 2020 Robinhood popularity article with documented rank,KIPLINGER_RH_2020_11_24,2020-11-24,1,Public history began through a 2019 SPAC combination
A023_KODK,KODK,KODK,RETAIL_ATTENTION_2020,Industrials,Explicit August 2020 Robintrack popularity coverage,FORBES_RH_2020_08_05,2020-08-05,,
A024_ADT,ADT,ADT,RETAIL_ATTENTION_2020,Industrials,Explicit August 2020 Robintrack popularity coverage,FORBES_RH_2020_08_05,2020-08-05,,IPO in 2018
A025_LI,LI,LI,RETAIL_ATTENTION_2020,Consumer Discretionary,Explicit August 2020 Robintrack popularity coverage,FORBES_RH_2020_08_05,2020-08-05,,IPO in July 2020; retain expected TRAIN coverage STOP
